Date,AAPL,MSFT,NVDA,AMZN,TSLA
8/27/2024,226.1382904,407.4042358,128.088913,173.1199951,209.2100067
8/28/2024,224.611084,404.2146606,125.4033127,170.8000031,205.75
8/29/2024,227.8837128,406.6954651,117.3965073,172.1199951,206.2799988
8/30/2024,227.1002808,410.6529541,119.173584,178.5,214.1100006
9/3/2024,220.9219666,403.0726929,107.8222885,176.25,210.6000061
9/4/2024,219.0178986,402.5410767,106.0352402,173.3300018,219.4100037
9/5/2024,220.5351868,402.039032,107.0335922,177.8899994,230.1699982
9/6/2024,218.9881287,395.4530945,102.6607971,171.3899994,210.7299957
9/9/2024,219.0773773,399.4105225,106.2947922,175.3999939,216.2700043
9/10/2024,218.2839966,407.7586975,107.9221191,179.5500031,226.1699982
9/11/2024,220.8128357,416.4611511,116.7176208,184.5200043,228.1300049
9/12/2024,220.9219666,420.3595581,118.9541245,187,229.8099976
9/13/2024,220.6541901,423.8937683,118.9141769,186.4900055,230.2899933
9/16/2024,214.5254669,424.6320496,116.5978012,184.8899994,226.7799988
9/17/2024,214.9915161,428.3829041,115.409668,186.8800049,227.8699951
9/18/2024,218.8592072,424.1103516,113.1931229,186.4299927,227.1999969
9/19/2024,226.971344,431.8678284,117.6861191,189.8699951,243.9199982
9/20/2024,226.3068848,428.5009766,115.8190308,191.6000061,238.25
9/23/2024,224.5912628,426.7683716,116.0786362,193.8800049,250
9/24/2024,225.4837952,422.4958191,120.681427,193.9600067,254.2700043
9/25/2024,224.4920807,425.3901062,123.3173065,192.5299988,257.019989
9/26/2024,225.6325531,424.6025696,123.8464813,191.1600037,254.2200012
9/27/2024,225.9002991,421.363739,121.2106018,187.9700012,260.4599915
9/30/2024,231.0670776,423.6082458,121.2505341,186.3300018,261.6300049
10/1/2024,224.3334045,414.1477661,116.8174591,185.1300049,258.019989
10/2/2024,224.8986664,410.6430969,118.6645813,184.7599945,249.0200043
10/3/2024,223.7978821,410.0622559,122.6583405,181.9600067,240.6600037
10/4/2024,224.9185181,409.5896912,124.7251053,186.5099945,250.0800018
10/7/2024,219.8509064,403.1711426,127.5207443,180.8000031,240.8300018
10/8/2024,223.8970795,408.2607117,132.6826782,182.7200012,244.5
10/9/2024,227.6357574,410.9679565,132.4430542,185.1699982,241.0500031
10/10/2024,227.1399231,409.3731689,134.5996857,186.6499939,238.7700043
10/11/2024,225.6623077,409.8457031,134.5897064,188.8200073,217.8000031
10/14/2024,229.3811798,412.6218567,137.8546143,187.5399933,219.1600037
10/15/2024,231.9100342,412.2280579,131.3947144,187.6900024,219.5700073
10/16/2024,229.857193,409.6488342,135.508255,186.8899994,221.3300018
10/17/2024,230.2241211,410.2394714,136.7163849,187.5299988,220.8899994
10/18/2024,233.0504913,411.657074,137.7846985,188.9900055,220.6999969
10/21/2024,234.5182037,412.2674255,143.4857941,189.0700073,218.8500061
10/22/2024,233.9033356,420.8617554,143.3659668,189.6999969,217.9700012
10/23/2024,228.8456268,417.9968872,139.3422852,184.7100067,213.6499939
10/24/2024,228.6572418,418.1249084,140.1909485,186.3800049,260.480011
10/25/2024,229.4902802,421.4916992,141.3191833,187.8300018,269.1900024
10/28/2024,231.4637451,419.9559631,140.3007813,188.3899994,262.5100098
10/29/2024,231.7315216,425.2326355,141.0296326,190.8300018,259.519989
10/30/2024,228.1911316,425.8035889,139.1226196,192.7299957,257.5499878
10/31/2024,224.0358887,400.0307312,132.552887,186.3999939,249.8500061
11/1/2024,221.0607758,403.9881897,135.1887665,197.9299927,248.9799957
11/4/2024,220.1682434,402.1079102,135.8377533,195.7799988,242.8399963
11/5/2024,221.5962982,405.0612488,139.6917267,199.5,251.4400024
11/6/2024,220.872345,413.6455994,145.3828278,207.0899963,288.5299988
11/7/2024,225.5928802,418.8139954,148.6477509,210.0500031,296.9100037
11/8/2024,225.3248138,415.9689636,147.3996582,208.1799927,321.2200012
11/11/2024,222.6144867,411.5093384,145.0333862,206.8399963,350
11/12/2024,222.6144867,416.451355,148.0586395,208.9100037,328.4899902
11/13/2024,223.4980774,418.587616,146.0418091,214.1000061,330.2399902
11/14/2024,226.5757599,420.2513428,146.5310364,211.4799957,311.1799927
11/15/2024,223.3789368,408.5462036,141.7584839,202.6100006,320.7200012
11/18/2024,226.3771973,409.2944336,139.9313354,201.6999969,338.7399902
11/19/2024,226.6352997,411.2928467,146.7806396,204.6100006,346
11/20/2024,227.3501282,409.0285339,145.662384,202.8800049,342.0299988
11/21/2024,226.8735809,407.2628784,146.4411926,198.3800049,339.6400146
11/22/2024,228.2138367,411.3368225,141.7285461,197.1199951,352.5599976
11/25/2024,231.1922302,413.102478,135.807785,201.4499969,338.5899963
11/26/2024,233.3664551,422.1775818,136.7063904,207.8600006,338.230011
11/27/2024,233.237381,417.2454224,135.1288605,205.7400055,332.8900146
11/29/2024,235.6201019,417.7090454,138.034317,207.8899994,345.1600037
12/2/2024,237.8638306,425.1269531,138.4137421,210.7100067,357.0899963
12/3/2024,240.9017792,425.3439941,140.0411835,213.4400024,351.4200134
12/4/2024,241.2591858,431.4795227,144.913559,218.1600037,357.9299927
12/5/2024,241.2889557,436.6088867,144.8436737,220.5500031,369.4899902
12/6/2024,241.0903931,437.54599,142.2276001,227.0299988,389.2200012
12/9/2024,244.9722443,439.962677,138.6029663,226.0899963,389.7900085
12/10/2024,245.9848633,437.3092041,134.8685913,225.0399933,400.9899902
12/11/2024,244.7141113,442.892334,139.1022339,230.2599945,424.769989
12/12/2024,246.1735077,443.4545898,137.1351929,228.9700012,418.1000061
12/13/2024,246.3422852,441.1956787,134.0498047,227.4600067,436.230011
12/16/2024,249.231308,445.4570313,131.8031311,232.9299927,463.019989
12/17/2024,251.653717,448.2880249,130.1955414,231.1499939,479.8599854
12/18/2024,246.2628784,431.4499207,128.7177582,220.5200043,440.1300049
12/19/2024,247.9903107,431.0947571,130.4851074,223.2899933,436.1700134
12/20/2024,252.6564789,430.6706238,134.499115,224.9199982,421.0599976
12/23/2024,253.4308472,429.3390198,139.4617004,225.0599976,430.6000061
12/24/2024,256.3397827,433.3634949,140.0108948,229.0500031,462.2799988
12/26/2024,257.1537781,432.1600647,139.7213135,227.0500031,454.1300049
12/27/2024,253.7485504,424.683075,136.8056793,223.75,431.6600037
12/30/2024,250.3829498,419.0604248,137.2849579,221.3000031,417.4100037
12/31/2024,248.6157837,415.7756958,134.0897369,219.3899994,403.8399963
1/2/2025,242.0931396,412.8953552,138.1037292,220.2200012,379.2799988
1/3/2025,241.6066437,417.6005554,144.2545471,224.1900024,410.4400024
1/6/2025,243.234848,422.0394287,149.2071686,227.6100006,411.0499878
1/7/2025,240.4649506,416.6339111,139.9309998,222.1100006,394.3599854
1/8/2025,240.951416,418.7941284,139.9010468,222.1300049,394.9400024
1/10/2025,235.1435699,413.2603149,135.7073364,218.9400024,394.7399902
1/13/2025,232.7111969,411.5242004,133.031311,218.4600067,403.3099976
1/14/2025,231.5992889,410.0249023,131.5634918,217.7599945,396.3599854
1/15/2025,236.1562042,420.5203857,136.0368347,223.3500061,428.2200012
1/16/2025,226.6154327,418.8138428,133.3708038,220.6600037,413.8200073
1/17/2025,228.3230591,423.2033691,137.5046234,225.9400024,426.5
1/21/2025,221.0359344,422.6806335,140.6199799,230.7100067,424.0700073
1/22/2025,222.2173615,440.1402588,146.8506927,235.0099945,415.1099854
1/23/2025,222.048584,440.6433411,147.000473,235.4199982,412.3800049
1/24/2025,221.1749268,438.0293274,142.4073181,234.8500061,406.5799866
1/27/2025,228.2039032,428.6583557,118.2434006,235.4199982,397.1499939
1/28/2025,236.543396,441.1266479,128.7976532,238.1499939,398.0899963
1/29/2025,237.6354675,436.3227844,123.5155334,237.0700073,389.1000061
1/30/2025,235.8782196,409.354126,124.4641113,234.6399994,400.2799988
1/31/2025,234.2996826,409.4231873,119.8909454,237.6799927,404.6000061
2/3/2025,226.3672333,405.3394165,116.4860382,237.4199982,383.6799927
2/4/2025,231.122757,406.7696838,118.4730606,242.0599976,392.2099915
2/5/2025,230.7951202,407.6771851,124.643837,236.1699982,378.1700134
2/6/2025,231.5397186,410.172821,128.4880676,238.8300018,374.3200073
2/7/2025,225.9899902,404.1853027,129.6463623,229.1499939,361.6199951
2/10/2025,226.2583466,406.6217041,133.3708038,233.1399994,350.730011
2/11/2025,231.1979523,405.852356,132.6019592,232.7599945,328.5
2/12/2025,235.4219666,403.4849548,130.9444427,228.9299927,336.5100098
2/13/2025,240.0534821,404.9645691,135.0882416,230.3699951,355.9400024
2/14/2025,243.1047211,402.8832092,138.6429291,228.6799927,355.8399963
2/18/2025,242.9755249,404.0768127,139.1920929,226.6499939,354.1099854
2/19/2025,243.3730774,409.1370544,139.0223694,226.6300049,360.5599976
2/20/2025,244.3271942,411.3016968,139.9010468,222.8800049,354.3999939
2/21/2025,244.0489044,403.4735718,134.2295227,216.5800018,337.7999878
2/24/2025,245.589447,399.312439,130.0857239,212.7100067,330.5299988
2/25/2025,245.5298004,393.2832031,126.4411545,212.8000031,302.7999878
2/26/2025,238.8906403,395.0919495,131.0842285,214.3500061,290.7999878
2/27/2025,235.8493347,387.9755554,119.9708252,208.7400055,281.9500122
2/28/2025,240.3615723,392.3837585,124.7337036,212.2799988,292.980011
3/3/2025,236.5748749,383.9823914,113.8899002,205.0200043,284.6499939
3/4/2025,234.4876862,384.1009827,115.8170319,203.8000031,272.0400085
3/5/2025,234.2988892,396.3669739,117.1250763,208.3600006,279.1000061
3/6/2025,233.8914032,392.2849426,110.4051132,200.6999969,263.4500122
3/7/2025,237.6085358,388.74646,112.5219498,199.25,262.6700134
